cpu,memory,storage,bandwidth,price
4 cores /8 threads@ 3.8GHz,32 GB Memory,2 x 240 GB SSD,5 TB Bandwidth,$120
6 cores /12 threads@ 4GHz,32 GB Memory,2 x 960 GB SSD,10 TB Bandwidth,$185
8 cores /16 threads@ 3.7GHz,128 GB Memory,2 x 1.9 TB NVMe,10 TB Bandwidth,$350
8 cores /16 threads@ 3.2GHz,128 GB Memory,2 x 1.92 TB NVMe,10 TB Bandwidth,$425
24 cores /48 threads@ 2.85GHz,256 GB Memory,2 x 480 GB SSD + 2 x 1.9 TB NVMe,10 TB Bandwidth,$725
128 cores /256 threads@ 2GHz,2048 GB Memory,2 x 480 GB SSD + 12 x 6.4 TB NVMe,25 TB Bandwidth,$5.500
2 x Intel Gold 6342 + 48 cores /96 threads@ 2.8GHz,512 GB Memory,2 x 480 GB SSD + 4 x 1.6 TB NVMe,15 TB Bandwidth,$7.000
2 x Intel Gold 6342 + 48 cores /96 threads@ 2.8GHz,512 GB Memory,2 x 480 GB SSD + 4 x 3.8 TB NVMe,25 TB Bandwidth,$14.000
16 cores /32 threads@ 3.5GHz,512 GB Memory,2 x 480 GB SSD + 2 x 3.84 TB NVMe,10 TB Bandwidth,Contact Us For Pricing
32 cores /64 threads@ 2.8GHz,512 GB Memory,2 x 480 GB SSD + 3 x 6.4 TB NVMe,15 TB Bandwidth,Contact Us For Pricing
64 cores /128 threads@ 2.8GHz,1024 GB Memory,2 x 480 GB SSD + 6 x 6.4 TB NVMe,20 TB Bandwidth,Contact Us For Pricing
128 cores /256 threads@ 2GHz,2048 GB Memory,2 x 480 GB SSD + 10 x 6.4 TB NVMe,25 TB Bandwidth,Contact Us For Pricing
2 core CPU,2GB RAM,120 GB SSD,Unmetered bandwidth,$23.95/mo
2 core CPU,4 GB RAM,165 GB SSD,Unmetered bandwidth,$34.95/mo
4 core CPU,8 GB RAM,240 GB SSD,Unmetered bandwidth,$59.95/mo
